codigo pais,pais,clave nacionalidad,catalog_key_pais
101,NAMIBIANA,NAM,157
103,ANGOLESA,AGO,5
104,ARGELIANA,DZA,66
105,DE BENNIN,BEN,22
106,BOTSWANESA,BWA,39
107,BURUNDESA,BDI,20
108,DE CABO VERDE,CPV,50
109,COMORENSE,COM,49
110,CONGOLESA,COD,243
111,MARFILEÑA,COG,45
112,CHADIANA,TCD,210
113,DE DJIBOUTI,DJI,62
114,EGIPCIA,EGY,2
115,ETIOPE,ETH,70
116,GABONESA,GAB,77
117,GAMBIANA,GMB,89
118,GHANATA,GHA,85
119,GUINEA,GNB,90
120,GUINEA,GIN,87
121,GUINEA ECUATORIANA,GNQ,91
122,LIBIA,LBY,128
123,KENIANA,KEN,118
124,LESOTHENSE,LSO,132
125,LIBERIANA,LBR,127
127,MALAWIANA,MWI,155
128,MALIENSE,MLI,145
129,MARROQUI,MAR,137
130,MAURICIANA,MUS,154
131,MAURITANA,MRT,151
132,MOZAMBIQUEÑA,MOZ,150
133,NIGERINA,NER,159
134,NIGERIANA,NGA,161
135,CENTRO AFRICANA,CAF,40
136,CAMERUNESA,CMR,44
137,TANZANIANA,TZA,223
139,RWANDESA,RWA,188
140,DEL SAHARA,ESH,67
141,DE SANTO TOME,STP,201
142,SENEGALESA,SEN,191
143,DE SEYCHELLES,SYC,207
144,SIERRA LEONESA,SLE,196
145,SOMALI,SOM,199
146,SUDAFRICANA,ZAF,242
147,SUDANESA,SDN,190
148,SWAZI,SWZ,206
149,TOGOLESA,TGO,211
150,TUNECINA,TUN,219
151,UGANDESA,UGA,224
152,ZAIRANA,ZAR,243
153,ZAMBIANA,ZMB,244
154,DE ZIMBAWI,ZWE,245
201,ARGENTINA,ARG,11
202,BAHAMEÑA,BHS,27
203,DE BARBADOS,BRB,34
204,BELICEÑA,BLZ,30
205,BOLIVIANA,BOL,32
206,BRASILEÑA,BRA,33
207,CANADIENSE,CAN,41
208,COLOMBIANA,COL,48
209,COSTARRICENSE,CRI,51
210,CUBANA,CUB,53
211,CHILENA,CHL,59
212,DOMINICA,DMA,63
214,SALVADOREÑA,SLV,197
215,ESTADOUNIDENSE,USA,228
216,GRANADINA,VCT,231
217,GUATEMALTECA,GTM,95
218,BRITANICA,VGB,233
219,GUYANESA,GUY,98
220,HAITIANA,HTI,103
221,HONDUREÑA,HND,101
222,JAMAIQUINA,JAM,114
223,MEXICANA,MEX,142
