CONSECUTIVO,LETRA,CATALOG_KEY,NOMBRE,DIA_CRONICOS,DIA_CAINFANTIL,LSEX,LINF,LSUP,CLAVE_PROGRAMA_SIS,CLAVE_CAPITULO ,CAPITULO ,ES_SUIVE_MORB ,EPI_CLAVE ,EPI_CLAVE_DESC 2024,TIPO_PERSONAL_1VEZ_CE,TIPO_PERSONAL_SUBSEC_CE,VALIDO_SM,VALIDO_SB,VALIDO_PF
1,A,A000,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,01,COLERA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
2,A,A001,"CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,01,COLERA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
3,A,A009,"CÓLERA, NO ESPECIFICADO",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,01,COLERA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
4,A,A010,FIEBRE TIFOIDEA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,06,FIEBRE TIFOIDEA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
5,A,A011,FIEBRE PARATIFOIDEA A,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,178,FIEBRE PARATIFOIDEA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
6,A,A012,FIEBRE PARATIFOIDEA B,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,178,FIEBRE PARATIFOIDEA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
7,A,A013,FIEBRE PARATIFOIDEA C,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,178,FIEBRE PARATIFOIDEA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
8,A,A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,178,FIEBRE PARATIFOIDEA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
9,A,A020,ENTERITIS DEBIDA A SALMONELLA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,177,OTRAS SALMONELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
10,A,A021,SEPSIS DEBIDA A SALMONELLA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,177,OTRAS SALMONELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
11,A,A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,177,OTRAS SALMONELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
12,A,A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,177,OTRAS SALMONELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
13,A,A029,"INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,177,OTRAS SALMONELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6",NO,NO,NO
14,A,A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,05,SHIGELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
15,A,A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,05,SHIGELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
16,A,A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,05,SHIGELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
