clues,sub_abreviacion,tip_abreviacion,nombre_unidad,en_operacion,id_entidad_federativa,tipo_unidad,institucion
ASSSA000013,T01,T,CENTRO ESTATAL DE SALUD MENTAL FAMILIAR AGUA CLARA,1,01,1,SSA
ASSSA000030,99,M,HOSPITAL GENERAL TERCER MILENIO,1,01,2,SSA
ASSSA000042,99,O,HOSPITAL DE LA MUJER,1,01,2,SSA
ASSSA000054,99,Y,HOSPITAL DE PSIQUIATRÍA DR. GUSTAVO LEÓN MOJICA GARCÍA,1,01,2,SSA
ASSSA000066,99,F,CENTRO DE SALUD URBANO NORIAS DE OJOCALIENTE,1,01,1,SSA
ASSSA000071,99,G,CENTRO DE SALUD URBANO GREMIAL,1,01,1,SSA
ASSSA000083,99,I,CENTRO DE SALUD URBANO PROGRESO,1,01,1,SSA
ASSSA000095,99,K,CENTRO DE SALUD URBANO CONSTITUCIÓN,1,01,1,SSA
ASSSA000100,99,H,CENTRO DE SALUD URBANO GÓMEZ PORTUGAL,1,01,1,SSA
ASSSA000112,99,K,CENTRO DE SALUD URBANO INSURGENTES,1,01,1,SSA
ASSSA000124,99,I,CENTRO DE SALUD URBANO LICENCIADO JOSÉ LÓPEZ PORTILLO,1,01,1,SSA
ASSSA000136,99,G,CENTRO DE SALUD URBANO LA SALUD,1,01,1,SSA
ASSSA000141,99,H,CENTRO DE SALUD URBANO SAN MARCOS,1,01,1,SSA
ASSSA000153,99,I,CENTRO DE SALUD URBANO OJOCALIENTE,1,01,1,SSA
ASSSA000165,99,K,CENTRO DE SALUD URBANO MORELOS,1,01,1,SSA
ASSSA000182,99,K,CENTRO DE SALUD URBANO LAS CUMBRES,1,01,1,SSA
ASSSA000194,99,C,CENTRO DE SALUD RURAL LOS ARELLANO,1,01,1,SSA
ASSSA000211,99,A,CENTRO DE SALUD RURAL EL COLORADO,1,01,1,SSA
ASSSA000223,99,A,CENTRO DE SALUD RURAL LOS CUERVOS,1,01,1,SSA
ASSSA000235,99,E,CENTRO DE SALUD URBANO JOSÉ MARÍA MORELOS,1,01,1,SSA
ASSSA000252,99,B,CENTRO DE SALUD RURAL SALTO DE LOS SALADO,1,01,1,SSA
ASSSA000264,99,C,CENTRO DE SALUD RURAL SAN IGNACIO,1,01,1,SSA
ASSSA000276,99,A,CENTRO DE SALUD RURAL SANTA MARÍA DE GALLARDO,1,01,1,SSA
ASSSA000293,99,A,CENTRO DE SALUD RURAL LA CANTERA,1,01,1,SSA
ASSSA000305,99,E,CENTRO DE SALUD URBANO ASIENTOS,1,01,1,SSA
ASSSA000310,99,A,CENTRO DE SALUD RURAL ADOLFO LÓPEZ MATEOS,1,01,1,SSA
ASSSA000322,99,A,CENTRO DE SALUD RURAL COLONIA EMANCIPACIÓN,1,01,1,SSA
ASSSA000334,99,E,CENTRO DE SALUD URBANO CIÉNEGA GRANDE,1,01,1,SSA
ASSSA000346,99,A,CENTRO DE SALUD RURAL LAS FRAGUAS,1,01,1,SSA
ASSSA000351,99,A,CENTRO DE SALUD RURAL FRANCISCO VILLA,1,01,1,SSA
ASSSA000375,99,B,CENTRO DE SALUD RURAL PILOTOS,1,01,1,SSA
ASSSA000380,99,B,CENTRO DE SALUD RURAL EL POLVO,1,01,1,SSA
ASSSA000392,99,K,CENTRO DE SALUD URBANO VILLA JUÁREZ,1,01,1,SSA
ASSSA000404,99,M,HOSPITAL GENERAL CALVILLO,1,01,2,SSA
ASSSA000416,99,G,CENTRO DE SALUD URBANO CALVILLO PONIENTE,1,01,1,SSA
ASSSA000421,99,K,CENTRO DE SALUD URBANO CALVILLO,1,01,1,SSA
ASSSA000433,99,A,CENTRO DE SALUD RURAL COLOMOS,1,01,1,SSA
ASSSA000445,99,B,CENTRO DE SALUD RURAL EL CUERVERO,1,01,1,SSA
ASSSA000450,99,A,CENTRO DE SALUD RURAL JALTICHE DE ARRIBA,1,01,1,SSA
ASSSA000462,99,B,CENTRO DE SALUD RURAL LA LABOR,1,01,1,SSA
ASSSA000474,99,B,CENTRO DE SALUD RURAL MALPASO,1,01,1,SSA
ASSSA000491,99,B,CENTRO DE SALUD RURAL PRESA DE LOS SERNA,1,01,1,SSA
ASSSA000503,99,A,CENTRO DE SALUD RURAL SAN TADEO,1,01,1,SSA
ASSSA000515,99,A,CENTRO DE SALUD RURAL EL TEMAZCAL,1,01,1,SSA
ASSSA000520,99,A,CENTRO DE SALUD RURAL TERRERO DE LA LABOR,1,01,1,SSA
ASSSA000532,99,K,CENTRO DE SALUD URBANO COSÍO,1,01,1,SSA
ASSSA000544,99,A,CENTRO DE SALUD RURAL SOLEDAD DE ABAJO,1,01,1,SSA
ASSSA000556,99,K,CENTRO DE SALUD URBANO JESÚS MARÍA,1,01,1,SSA
ASSSA000561,99,A,CENTRO DE SALUD RURAL IGNACIO ZARAGOZA,1,01,1,SSA
ASSSA000573,99,A,CENTRO DE SALUD RURAL GRACIAS A DIOS,1,01,1,SSA
ASSSA000585,99,F,CENTRO DE SALUD URBANO JESÚS GÓMEZ PORTUGAL,1,01,1,SSA
ASSSA000590,99,A,CENTRO DE SALUD RURAL TAPIAS VIEJAS,1,01,1,SSA
ASSSA000602,99,B,CENTRO DE SALUD RURAL VALLADOLID,1,01,1,SSA
ASSSA000614,99,M,HOSPITAL GENERAL PABELLÓN DE ARTEAGA,1,01,2,SSA
ASSSA000626,99,K,CENTRO DE SALUD URBANO PABELLÓN DE ARTEAGA,1,01,1,SSA
ASSSA000631,99,A,CENTRO DE SALUD RURAL LAS ÁNIMAS,1,01,1,SSA
ASSSA000643,99,E,CENTRO DE SALUD URBANO EMILIANO ZAPATA,1,01,1,SSA
ASSSA000655,99,M,HOSPITAL GENERAL RINCÓN DE ROMOS,1,01,2,SSA
ASSSA000660,99,K,CENTRO DE SALUD URBANO RINCÓN DE ROMOS,1,01,1,SSA
ASSSA000672,99,A,CENTRO DE SALUD RURAL LA BOQUILLA,1,01,1,SSA
ASSSA000684,99,E,CENTRO DE SALUD URBANO PABELLÓN DE HIDALGO,1,01,1,SSA
ASSSA000696,99,E,CENTRO DE SALUD URBANO SAN JACINTO,1,01,1,SSA
ASSSA000701,99,K,CENTRO DE SALUD URBANO SAN JOSÉ DE GRACIA,1,01,1,SSA
ASSSA000713,99,A,CENTRO DE SALUD RURAL LA CONGOJA,1,01,1,SSA
ASSSA000725,99,A,CENTRO DE SALUD RURAL PAREDES,1,01,1,SSA
ASSSA000730,99,A,CENTRO DE SALUD RURAL POTRERO DE LOS LÓPEZ,1,01,1,SSA
ASSSA000742,99,A,CENTRO DE SALUD RURAL SAN ANTONIO DE LOS RÍOS,1,01,1,SSA
ASSSA000754,99,A,CENTRO DE SALUD RURAL TÚNEL DE POTRERILLO,1,01,1,SSA
ASSSA000766,99,G,CENTRO DE SALUD URBANO TEPEZALÁ,1,01,1,SSA
ASSSA000771,99,B,CENTRO DE SALUD RURAL EL CHAYOTE,1,01,1,SSA
ASSSA000783,99,A,CENTRO DE SALUD RURAL MESILLAS,1,01,1,SSA
ASSSA000795,99,F,CENTRO DE SALUD URBANO SAN ANTONIO TEPEZALÁ,1,01,1,SSA
ASSSA000800,99,K,CENTRO DE SALUD URBANO PALO ALTO,1,01,1,SSA
ASSSA000812,99,A,CENTRO DE SALUD RURAL LOS CONOS,1,01,1,SSA
ASSSA000824,99,A,CENTRO DE SALUD RURAL LICENCIADO JESÚS TERÁN,1,01,1,SSA
ASSSA000836,99,A,CENTRO DE SALUD RURAL SANTA ROSA,1,01,1,SSA
ASSSA000841,99,A,CENTRO DE SALUD RURAL LA UNIÓN,1,01,1,SSA
ASSSA000853,99,D,CENTRO DE SALUD URBANO EL BARRANCO,1,01,1,SSA
ASSSA000865,99,K,CENTRO DE SALUD URBANO SAN FRANCISCO DE LOS ROMO,1,01,1,SSA
ASSSA000870,99,C,CENTRO DE SALUD RURAL PUERTECITO DE LA VIRGEN,1,01,1,SSA
ASSSA000882,99,A,CENTRO DE SALUD RURAL LOS CAMPOS,1,01,1,SSA
ASSSA000894,99,P,UNIDAD MÓVIL COLONIA SANA,1,01,1,SSA
ASSSA000906,99,P,UNIDAD MÓVIL COMUNIDAD SANA,1,01,1,SSA
ASSSA000984,99,ANT,CENTRO MUNICIPAL DE CONTROL CANINO Y FELINO,1,01,3,SSA
ASSSA000996,JUR01,OFI,JURISDICCIÓN SANITARIA NO. I,1,01,3,SSA
ASSSA001001,JUR01,OFI,JURISDICCIÓN SANITARIA NO. II,1,01,3,SSA
ASSSA001013,JUR01,OFI,JURISDICCIÓN SANITARIA NO. III,1,01,3,SSA
ASSSA001025,99,LAB,LABORATORIO ESTATAL DE SALUD PÚBLICA,1,01,3,SSA
ASSSA001030,EST01,OFI,OFICINAS CENTRALES,1,01,3,SSA
ASSSA001046,99,E,CENTRO DE SALUD URBANO CERESO VARONES,1,01,1,SSA
ASSSA001051,UNE03,UNE,UNEME CAPASITS (CLÍNICA DE VIH/SIDA),1,01,1,SSA
ASSSA001075,99,P,CARAVANA TIPO II ECONÓMICO 241,1,01,1,SSA
ASSSA001080,99,P,CARAVANA TIPO II ECONÓMICO 240,1,01,1,SSA
ASSSA001092,99,P,CARAVANA TIPO I ECONÓMICO 239,1,01,1,SSA
ASSSA001104,UNE04,UNE,UNEME DE ENFERMEDADES CRÓNICAS AGUASCALIENTES,1,01,1,SSA
ASSSA001116,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES AGUASCALIENTES,1,01,1,SSA
ASSSA001121,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES RINCÓN DE ROMOS,1,01,1,SSA
ASSSA001133,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CALVILLO,1,01,1,SSA
ASSSA001145,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES JESÚS MARÍA,1,01,1,SSA
ASSSA001150,UNE01,UNE,UNEME CISAME JESÚS MARÍA,1,01,1,SSA
ASSSA001162,99,P,CARAVANA TIPO II ECONÓMICO 259,1,01,1,SSA
ASSSA001174,99,P,CARAVANA TIPO II ECONÓMICO 260,1,01,1,SSA
ASSSA001186,99,K,CENTRO DE SALUD URBANO GUADALUPE PERALTA,1,01,1,SSA
ASSSA001191,99,A,CENTRO DE SALUD RURAL CARBONERAS,1,01,1,SSA
ASSSA001203,T99,T,"CENTRO ESTATAL DE ATENCIÓN PARA LABIO Y PALADAR HENDIDO ""DRA. LEONORILDA ALVAREZ NORIEGA""",1,01,1,SSA
ASSSA001215,UNE06,UNE,UNEME HEMODIÁLISIS DE AGUASCALIENTES,1,01,1,SSA
ASSSA001220,UNE04,UNE,UNEME ENFERMEDADES CRÓNICAS RINCÓN DE ROMOS,1,01,1,SSA
ASSSA001232,99,D,CASA DEL ADOLESCENTE,1,01,1,SSA
ASSSA001244,99,G,CENTRO DE SALUD URBANO OJOCALIENTE,1,01,1,SSA
ASSSA001250,99,P,UNIDAD MÓVIL DE CUIDADOS PALIATIVOS,1,01,1,SSA
ASSSA001265,UNE06,UNE,UNEME HEMODIÁLISIS DE CALVILLO,1,01,1,SSA
ASSSA001274,99,B,CENTRO DE SALUD RURAL LOS CAÑOS,1,01,1,SSA
ASSSA001283,99,F,CENTRO DE SALUD URBANO VILLA LICENCIADO JESÚS TERÁN,1,01,1,SSA
ASSSA001292,UNE99,UNE,CENTRO REGIONAL DE DESARROLLO INFANTIL Y ESTIMULACIÓN TEMPRANA,1,01,1,SSA
ASSSA001310,99,G,CENTRO DE SALUD URBANO HACIENDAS DE AGUASCALIENTES,1,01,1,SSA
ASSSA001326,99,OTR_,CENTRO ESTATAL DE VACUNOLOGÍA,1,01,3,SSA
ASSSA001331,99,O,CENTENARIO HOSPITAL MIGUEL HIDALGO,1,01,2,SSA
ASSSA001343,99,K,CENTRO DE SALUD URBANO LAS ARBOLEDAS,1,01,1,SSA
ASSSA001355,99,B,CENTRO DE SALUD RURAL PEÑUELAS,1,01,1,SSA
ASSSA001360,99,B,CENTRO DE SALUD RURAL JARILLAS,1,01,1,SSA
ASSSA001372,99,OTR_,CENTRO JURISDICCIONAL DE VACUNOLOGÍA DE AGUASCALIENTES,1,01,3,SSA
ASSSA001384,99,OTR_,CENTRO JURISDICCIONAL DE VACUNOLOGÍA DE RINCÓN DE ROMOS,1,01,3,SSA
ASSSA001396,99,OTR_,CENTRO JURISDICCIONAL DE VACUNOLOGÍA DE CALVILLO,1,01,3,SSA
ASSSA001401,99,P,SERVICIO AMIGABLE ITINERANTE EDUSEX,1,01,1,SSA
ASSSA001413,99,P,UNIDAD MÓVIL SALUD PARA TODOS,1,01,1,SSA
ASSSA001425,99,P,UNIDAD MÓVIL BIENESTAR EN SALUD,1,01,1,SSA
BCIMB000010,99,M,HOSPITAL GENERAL DE ENSENADA,1,02,2,IMB
BCIMB000034,99,P,UNIDAD MÓVIL NO. 8,1,02,1,IMB
BCIMB000051,99,E,COLONIA LOMA LINDA,1,02,1,IMB
BCIMB000063,99,E,COLONIA POPULAR 2,1,02,1,IMB
BCIMB000075,99,E,COLONIA POPULAR 89,1,02,1,IMB
BCIMB000080,99,CAP,RUÍZ Y 14,1,02,1,IMB
BCIMB000092,99,F,FRACCIONAMIENTO MAR,1,02,1,IMB
BCIMB000104,99,E,COL. JALISCO,1,02,1,IMB
BCIMB000116,99,F,COL. LOMITAS INDECO,1,02,1,IMB
BCIMB000121,99,F,COL. OBRERA,1,02,1,IMB
BCIMB000133,99,C,BAHÍA DE LOS ÁNGELES,1,02,1,IMB
BCIMB000145,99,B,ERÉNDIRA,1,02,1,IMB
BCIMB000150,99,G,FRANCISCO ZARCO,1,02,1,IMB
BCIMB000162,99,C,ISLA DE CEDROS,1,02,1,IMB
BCIMB000174,99,CAP,RODOLFO SÁNCHEZ TABOADA (MANEADERO),1,02,1,IMB
BCIMB000186,99,A,LA MISIÓN,1,02,1,IMB
BCIMB000191,99,E,REAL DEL CASTILLO,1,02,1,IMB
BCIMB000203,99,B,EL ROSARÍO DE ARRIBA,1,02,1,IMB
BCIMB000215,99,A,RUBÉN JARAMILLO,1,02,1,IMB
BCIMB000220,99,F,SAN VICENTE,1,02,1,IMB
BCIMB000232,99,CAP,COL. VICENTE GUERRERO,1,02,1,IMB
BCIMB000244,99,P,UNIDAD MÓVIL 1,1,02,1,IMB
BCIMB000256,99,P,UNIDAD MÓVIL NO. 2,1,02,1,IMB
BCIMB000261,99,P,UNIDAD MÓVIL NO. 3,1,02,1,IMB
BCIMB000285,99,C,SAN ANTONIO DE LAS MINAS,1,02,1,IMB
BCIMB000290,99,B,BENITO JUÁREZ,1,02,1,IMB
BCIMB000302,99,B,HÉROES DE LA INDEPENDENCIA,1,02,1,IMB
BCIMB000314,99,A,VALLE DE LA TRINIDAD,1,02,1,IMB
BCIMB000326,99,F,EMILIANO ZAPATA,1,02,1,IMB
BCIMB000331,99,E,BENITO GARCÍA,1,02,1,IMB
BCIMB000343,99,F,COLONIA NUEVA ERA,1,02,1,IMB
BCIMB000355,99,M,HOSPITAL GENERAL DE MEXICALI,1,02,2,IMB
BCIMB000360,99,P,UNIDAD MÓVIL 3,1,02,1,IMB
BCIMB000372,99,F,COMPUERTAS,1,02,1,IMB
BCIMB000384,99,H,GUAJARDO,1,02,1,IMB
BCIMB000396,99,E,FLORES MAGÓN,1,02,1,IMB
BCIMB000401,99,G,VICENTE GUERRERO,1,02,1,IMB
BCIMB000413,99,F,HIDALGO,1,02,1,IMB
BCIMB000425,99,E,LÁZARO CÁRDENAS,1,02,1,IMB
BCIMB000430,99,E,CIPRES,1,02,1,IMB
BCIMB000442,99,G,RIVERA CAMPESTRE,1,02,1,IMB
BCIMB000454,99,F,MEXICALI,1,02,1,IMB
BCIMB000466,99,G,ORIZABA,1,02,1,IMB
BCIMB000471,99,H,PRO-HOGAR,1,02,1,IMB
BCIMB000483,99,J,GONZÁLEZ ORTEGA,1,02,1,IMB
BCIMB000495,99,R,COL. INDUSTRIAL,1,02,1,IMB
BCIMB000500,99,D,REACOMODO,1,02,1,IMB
BCIMB000512,99,E,ALGODONES,1,02,1,IMB
BCIMB000524,99,E,DELTA,1,02,1,IMB
BCIMB000536,99,B,DURANGO,1,02,1,IMB
BCIMB000541,99,CAP,GUADALUPE VICTORIA,1,02,1,IMB
BCIMB000553,99,E,HERMOSILLO,1,02,1,IMB
BCIMB000565,99,CAP,CIUDAD MORELOS,1,02,1,IMB
BCIMB000570,99,E,NUEVO LEÓN,1,02,1,IMB
BCIMB000582,99,C,TOLUCA,1,02,1,IMB
BCIMB000594,99,E,PROGRESO,1,02,1,IMB
BCIMB000606,99,I,PUEBLA,1,02,1,IMB
BCIMB000611,99,D,QUERÉTARO,1,02,1,IMB
BCIMB000623,99,N,HOSPITAL COMUNITARIO SAN FELIPE,1,02,2,IMB
BCIMB000635,99,H,SANTA ISABEL,1,02,1,IMB
BCIMB000640,99,B,SONORA,1,02,1,IMB
BCIMB000652,99,F,BENITO JUÁREZ,1,02,1,IMB
BCIMB000664,99,B,VERACRUZ DOS,1,02,1,IMB
BCIMB000676,99,M,HOSPITAL GENERAL DE TECATE,1,02,2,IMB
BCIMB000693,99,A,LA RUMOROSA,1,02,1,IMB
BCIMB000705,99,C,VALLE DE LAS PALMAS,1,02,1,IMB
BCIMB000710,99,D,LUIS ECHEVERRÍA,1,02,1,IMB
BCIMB000722,99,D,NUEVA COLONIA HINDÚ,1,02,1,IMB
BCIMB000734,99,M,HOSPITAL GENERAL TIJUANA,1,02,2,IMB
BCIMB000746,99,P,UNIDAD MÓVIL 2,1,02,1,IMB
BCIMB000751,99,P,UNIDAD MÓVIL 3,1,02,1,IMB
BCIMB000763,99,P,UNIDAD MÓVIL 4,1,02,1,IMB
BCIMB000775,99,P,UNIDAD MÓVIL 5,1,02,1,IMB
BCIMB000780,99,P,UNIDAD MÓVIL 1,1,02,1,IMB
BCIMB000792,99,P,UNIDAD MOVIL NO. 3,1,02,3,IMB
BCIMB000804,99,P,UNIDAD MÓVIL 10,1,02,1,IMB
BCIMB000816,99,P,UNIDAD MÓVIL 11,1,02,1,IMB
BCIMB000821,99,P,UNIDAD MÓVIL 12,1,02,1,IMB
BCIMB000833,99,P,UNIDAD MÓVIL 13,1,02,1,IMB
BCIMB000845,99,E,CAÑÓN DEL SAINZ,1,02,1,IMB
BCIMB000850,99,D,LÁZARO CÁRDENAS,1,02,1,IMB
BCIMB000862,99,E,REFORMA,1,02,1,IMB
BCIMB000874,99,G,INSURGENTES,1,02,1,IMB
BCIMB000886,99,E,LA MESA,1,02,1,IMB
BCIMB000891,99,G,HERRERA,1,02,1,IMB
BCIMB000903,99,E,MIRAMAR,1,02,1,IMB
BCIMB000915,99,F,CAÑÓN DEL PADRE,1,02,1,IMB
BCIMB000920,99,E,PIPILA,1,02,1,IMB
BCIMB000932,99,E,3 DE OCTUBRE,1,02,1,IMB
BCIMB000944,99,D,EL NIÑO,1,02,1,IMB
BCIMB000956,99,E,LOMAS TAURINAS,1,02,1,IMB
BCIMB000961,99,E,SALVATIERRA (FLORES MAGÓN),1,02,1,IMB
BCIMB000973,99,E,MARÍANO MATAMOROS,1,02,1,IMB
BCIMB000985,99,E,CAMINO VERDE,1,02,1,IMB
BCIMB000990,99,F,PEDREGAL DE SANTA JULIA,1,02,1,IMB
BCIMB001002,99,D,SÁNCHEZ TABOADA,1,02,1,IMB
BCIMB001014,99,D,LA PRESA,1,02,1,IMB
BCIMB001026,99,G,FLORIDO (MORITA),1,02,1,IMB
BCIMB001031,99,D,VALLE VERDE,1,02,1,IMB
BCIMB001043,99,F,LA JOYA,1,02,1,IMB
BCIMB001055,99,D,COL. RUBÍ,1,02,1,IMB
BCIMB001060,99,H,FRANCISCO VILLA,1,02,1,IMB
BCIMB001072,99,B,EJIDO OJO DE AGUA,1,02,1,IMB
BCIMB001084,99,P,UNIDAD MÓVIL 9,1,02,1,IMB
BCIMB001096,99,B,PLAN LIBERTADOR,1,02,1,IMB
BCIMB001101,99,F,PRIMO TAPIA,1,02,1,IMB
BCIMB001113,99,P,UNIDAD MÓVIL NO. 1,1,02,1,IMB
BCIMB001125,99,P,UNIDAD MÓVIL NO. 2,1,02,1,IMB
BCIMB001130,99,P,UNIDAD MÓVIL 5,1,02,1,IMB
BCIMB001142,99,P,UNIDAD MÓVIL 8,1,02,1,IMB
BCIMB001183,99,P,UNIDAD MÓVIL 17,1,02,1,IMB
BCIMB001195,99,P,UNIDAD MÓVIL 18,1,02,1,IMB
BCIMB001212,99,P,UNIDAD MÓVIL 21,1,02,1,IMB
BCIMB001224,99,P,UNIDAD MÓVIL 22,1,02,1,IMB
BCIMB001241,99,P,UNIDAD MÓVIL 24,1,02,1,IMB
BCIMB001253,99,P,UNIDAD MÓVIL 19,1,02,1,IMB
BCIMB001265,99,F,MACLOVIO ROJAS,1,02,1,IMB
BCIMB001270,99,E,VALLE DE GUADALUPE,1,02,1,IMB
BCIMB001282,T12,T,CLINICA DE ESPECIALIDADES DENTALES EL FLORIDO,1,02,1,IMB
