CLAVE_FAMILIA,FAMILIA,CLAVE_GRUPO,GRUPO,CLAVE_LENGUA,LENGUA INDÍGENA
01,HOKANA,011,YUMANO,0111,PAIPAI
01,HOKANA,011,YUMANO,0112,KILIWA
01,HOKANA,011,YUMANO,0113,CUCAPÁ
01,HOKANA,011,YUMANO,0114,COCHIMÍ
01,HOKANA,011,YUMANO,0115,KUMIAI
01,HOKANA,012,SERI,0121,SERI
01,HOKANA,013,TEQUISTLATECA,0131,CHONTAL DE OAXACA
02,CHINANTECA,020,CHINANTECO,0200,CHINANTECO
02,CHINANTECA,021,OJITECO,0211,CHINANTECO DE OJITLÁN
02,CHINANTECA,021,OJITECO,0212,CHINANTECO DE USILA
02,CHINANTECA,022,DE QUIOTEPEC,0221,CHINANTECO DE QUIOTEPEC
02,CHINANTECA,022,DE QUIOTEPEC,0222,CHINANTECO DE YOLOX
02,CHINANTECA,022,DE QUIOTEPEC,0223,CHINANTECO DE SOCHIAPAN
02,CHINANTECA,023,DE PALANTLA,0231,CHINANTECO DE PALANTLA
02,CHINANTECA,023,DE PALANTLA,0232,CHINANTECO
02,CHINANTECA,024,DE LALANA,0241,CHINANTECO DE LALANA
02,CHINANTECA,024,DE LALANA,0242,CHINANTECO DE LATANI
02,CHINANTECA,024,DE LALANA,0243,CHINANTECO DE PETLAPA
03,OTOPAME,031,PAMEANO,0311,PAME
03,OTOPAME,032,CHICHIMECA,0321,CHICHIMECA JONAZ
03,OTOPAME,033,OTOMIANO,0331,OTOMÍ
03,OTOPAME,033,OTOMIANO,0332,MAZAHUA
03,OTOPAME,034,MATLAZINCANO,0341,MATLATZINCA
03,OTOPAME,034,MATLAZINCANO,0342,OCUILTECO (TLAHUICA)
04,OAXAQUEÑA,040,ZAPOTECO,0400,ZAPOTECO
04,OAXAQUEÑA,041,SERRANO NORTEÑO,0411,ZAPOTECO DE IXTLÁN
04,OAXAQUEÑA,041,SERRANO NORTEÑO,0412,ZAPOTECO VIJANO
04,OAXAQUEÑA,041,SERRANO NORTEÑO,0413,ZAPOTECO DEL RINCÓN
04,OAXAQUEÑA,042,DE LOS VALLES,0421,ZAPOTECO VALLISTA
04,OAXAQUEÑA,042,DE LOS VALLES,0422,ZAPOTECO DEL ISTMO
04,OAXAQUEÑA,043,SUREÑO,0431,ZAPOTECO DE CUIXTLA
04,OAXAQUEÑA,043,SUREÑO,0432,SOLTECO
04,OAXAQUEÑA,043,SUREÑO,0433,ZAPOTECO SUREÑO
04,OAXAQUEÑA,044,CHATINO,0441,CHATINO
04,OAXAQUEÑA,044,CHATINO,0442,PAPABUCO
04,OAXAQUEÑA,045,MIXTECO,0450,MIXTECO
04,OAXAQUEÑA,045,MIXTECO,0451,MIXTECO DE LA COSTA
04,OAXAQUEÑA,045,MIXTECO,0452,MIXTECO DE LA MIXTECA ALTA
04,OAXAQUEÑA,045,MIXTECO,0453,MIXTECO DE LA MIXTECA BAJA
04,OAXAQUEÑA,045,MIXTECO,0454,MIXTECO DE LA ZONA MAZATECA
